,label,area,mean_intensity,weighted_centroid-0,weighted_centroid-1,target_intensity,target_log_intensity,SBR,size_fraction,expressed,normalized_target_log_intensity
11,12,435.0,654.2045977011494,62.30928142976116,322.76732998569815,1970.048275862069,7.5858133269455195,1.8064586694426261,0.45977011494252873,True,0.24521310199974478
17,18,459.0,509.2875816993464,81.93784730688775,1268.5897169355287,1025.616557734205,6.9330492304727125,1.16145951990767,0.19825708061002179,True,0.1380617168535121
23,24,387.0,485.43669250645996,98.49070604266916,928.2154484094877,925.3979328165375,6.830223842643451,1.288257507745296,0.39018087855297157,True,0.12118290444082147
26,27,294.0,481.51360544217687,101.00591247836682,518.9497404019355,801.6870748299319,6.6867183507160375,1.121620492104735,0.20408163265306123,True,0.09762644304963586
33,34,286.0,477.5699300699301,126.07761467218216,480.3882930043563,931.451048951049,6.836743637883615,1.2118328051833975,0.3776223776223776,True,0.12225313041468899
34,35,282.0,473.9929078014184,126.36499932667994,1703.8091511678363,34684.81205673759,10.454057177230052,4.092479166628741,0.9042553191489362,True,0.7160360273962776
40,42,280.0,454.41785714285714,170.1644097235867,818.6981931356445,777.6607142857143,6.656290329169352,1.2652443491963854,0.44642857142857145,True,0.09263167591461063
43,45,427.0,508.25526932084307,185.79599124524825,1385.8651077064853,1294.1405152224825,7.165602058981846,1.4341471724633723,0.42857142857142855,True,0.17623532019516897
45,47,399.0,647.2706766917294,189.27579464185456,1615.3623543624474,45026.71428571428,10.715011243405183,2.0764983652258997,0.5037593984962406,True,0.7588717008061612
46,48,295.0,453.6915254237288,188.47926986902172,1067.497037485337,716.5288135593221,6.574418460778316,1.1855021831159274,0.3593220338983051,True,0.07919238881225232
48,50,413.0,606.9346246973365,196.10686017936362,1631.6826668368813,35348.506053268764,10.473011408855118,2.849848738515881,0.6416464891041163,True,0.7191473691259815
52,54,408.0,492.56617647058823,197.92883906312977,1178.1090626819328,681.0220588235294,6.523594697436259,1.1210914424038654,0.2034313725490196,True,0.07084965570258506
57,59,271.0,462.1660516605166,203.8351337756593,302.10939184172076,736.490774907749,6.601896710240735,1.2333200402416546,0.4280442804428044,True,0.08370295014245022
60,62,370.0,471.1837837837838,216.54113274214455,1136.4934322981794,645.5864864864865,6.470159185024286,1.0946481323335324,0.07567567567567568,True,0.062078203348081784
64,66,81.0,470.1111111111111,220.0046482313086,48.99180650752383,720.716049382716,6.580245230841198,1.2552526327642475,0.6790123456790124,True,0.08014885453476994
65,67,369.0,513.9945799457995,232.79306563185423,395.6978446094145,1199.6151761517615,7.089756097804969,1.4700075352617077,0.46883468834688347,True,0.16378518722712765
69,71,481.0,707.7380457380457,238.82905922648948,1015.2284517451868,1616.3014553014552,7.387895765806037,1.619959647479449,0.3908523908523909,True,0.21272488621788432
72,74,325.0,471.8523076923077,248.20983097709845,894.2072682456048,1832.6123076923077,7.513497718481664,1.8339163484272754,0.5723076923076923,True,0.23334247728790047
80,82,413.0,498.8474576271187,282.0890187550965,1165.9570341319459,656.5811138014528,6.487046241025198,1.1133988785538789,0.18159806295399517,True,0.0648502176964767
82,84,435.0,502.2758620689655,288.51760721314474,936.4391001876517,642.7333333333333,6.465729915562171,1.0982803962614636,0.135632183908046,True,0.061351137688962165
